,Date,Time,Vis,VisScore,Home,Home_Score,Box Score,OT,Attendence,Venue,Notes
0,"Tue, Oct 19, 2021",7:30p,Brooklyn Nets,104,Milwaukee Bucks,127,Box Score,,"17,341",Fiserv Forum,
1,"Tue, Oct 19, 2021",10:00p,Golden State Warriors,121,Los Angeles Lakers,114,Box Score,,"18,997",Crypto.com Arena,
2,"Wed, Oct 20, 2021",7:00p,Indiana Pacers,122,Charlotte Hornets,123,Box Score,,"15,521",Spectrum Center,
3,"Wed, Oct 20, 2021",7:00p,Chicago Bulls,94,Detroit Pistons,88,Box Score,,"20,088",Little Caesars Arena,
4,"Wed, Oct 20, 2021",7:30p,Boston Celtics,134,New York Knicks,138,Box Score,2OT,"19,812",Madison Square Garden (IV),
5,"Wed, Oct 20, 2021",7:30p,Washington Wizards,98,Toronto Raptors,83,Box Score,,"19,800",Scotiabank Arena,
6,"Wed, Oct 20, 2021",8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,Box Score,,"15,975",FedEx Forum,
7,"Wed, Oct 20, 2021",8:00p,Houston Rockets,106,Minnesota Timberwolves,124,Box Score,,"16,079",Target Center,
8,"Wed, Oct 20, 2021",8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,Box Score,,"12,845",Smoothie King Center,
9,"Wed, Oct 20, 2021",8:30p,Orlando Magic,97,San Antonio Spurs,123,Box Score,,"16,697",AT&T Center,
10,"Wed, Oct 20, 2021",9:00p,Oklahoma City Thunder,86,Utah Jazz,107,Box Score,,"18,306",Vivint Smart Home Arena,
11,"Wed, Oct 20, 2021",10:00p,Sacramento Kings,124,Portland Trail Blazers,121,Box Score,,"17,467",Moda Center,
12,"Wed, Oct 20, 2021",10:00p,Denver Nuggets,110,Phoenix Suns,98,Box Score,,"16,074",Phoenix Suns Arena,
13,"Thu, Oct 21, 2021",7:30p,Dallas Mavericks,87,Atlanta Hawks,113,Box Score,,"17,162",State Farm Arena,
14,"Thu, Oct 21, 2021",8:00p,Milwaukee Bucks,95,Miami Heat,137,Box Score,,"19,600",FTX Arena,
15,"Thu, Oct 21, 2021",10:00p,Los Angeles Clippers,113,Golden State Warriors,115,Box Score,,"18,064",Chase Center,
16,"Fri, Oct 22, 2021",7:00p,New York Knicks,121,Orlando Magic,96,Box Score,,"18,846",Amway Center,
17,"Fri, Oct 22, 2021",7:00p,Indiana Pacers,134,Washington Wizards,135,Box Score,OT,"15,407",Capital One Arena,
18,"Fri, Oct 22, 2021",7:00p,Charlotte Hornets,123,Cleveland Cavaliers,112,Box Score,,"17,116",Rocket Mortgage Fieldhouse,
19,"Fri, Oct 22, 2021",7:30p,Toronto Raptors,115,Boston Celtics,83,Box Score,,"19,156",TD Garden,
20,"Fri, Oct 22, 2021",7:30p,Brooklyn Nets,114,Philadelphia 76ers,109,Box Score,,"20,367",Wells Fargo Center,
21,"Fri, Oct 22, 2021",8:00p,Oklahoma City Thunder,91,Houston Rockets,124,Box Score,,"15,674",Toyota Center,
22,"Fri, Oct 22, 2021",8:00p,New Orleans Pelicans,112,Chicago Bulls,128,Box Score,,"20,995",United Center,
23,"Fri, Oct 22, 2021",9:00p,San Antonio Spurs,96,Denver Nuggets,102,Box Score,,"19,520",Ball Arena,
24,"Fri, Oct 22, 2021",10:00p,Phoenix Suns,115,Los Angeles Lakers,105,Box Score,,"18,997",Crypto.com Arena,
25,"Fri, Oct 22, 2021",10:00p,Utah Jazz,110,Sacramento Kings,101,Box Score,,"17,583",Golden 1 Center,
26,"Sat, Oct 23, 2021",6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101,Box Score,,"16,846",Rocket Mortgage Fieldhouse,
27,"Sat, Oct 23, 2021",7:00p,Miami Heat,91,Indiana Pacers,102,Box Score,OT,"17,147",Gainbridge Fieldhouse,
28,"Sat, Oct 23, 2021",7:30p,Dallas Mavericks,103,Toronto Raptors,95,Box Score,,"19,800",Scotiabank Arena,
29,"Sat, Oct 23, 2021",8:00p,Detroit Pistons,82,Chicago Bulls,97,Box Score,,"18,888",United Center,
30,"Sat, Oct 23, 2021",8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96,Box Score,,"15,343",Target Center,
31,"Sat, Oct 23, 2021",8:30p,Milwaukee Bucks,121,San Antonio Spurs,111,Box Score,,"14,353",AT&T Center,
32,"Sat, Oct 23, 2021",10:00p,Phoenix Suns,105,Portland Trail Blazers,134,Box Score,,"18,558",Moda Center,
33,"Sat, Oct 23, 2021",10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114,Box Score,,"16,748",Crypto.com Arena,
34,"Sun, Oct 24, 2021",4:00p,Charlotte Hornets,111,Brooklyn Nets,95,Box Score,,"17,732",Barclays Center,
35,"Sun, Oct 24, 2021",7:00p,Boston Celtics,107,Houston Rockets,97,Box Score,,"16,069",Toyota Center,
36,"Sun, Oct 24, 2021",7:00p,Orlando Magic,110,New York Knicks,104,Box Score,,"16,273",Madison Square Garden (IV),
37,"Sun, Oct 24, 2021",7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103,Box Score,,"14,256",Paycom Center,
38,"Sun, Oct 24, 2021",9:00p,Golden State Warriors,119,Sacramento Kings,107,Box Score,,"13,876",Golden 1 Center,
39,"Sun, Oct 24, 2021",9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121,Box Score,,"18,997",Crypto.com Arena,
40,"Mon, Oct 25, 2021",7:00p,Boston Celtics,140,Charlotte Hornets,129,Box Score,OT,"17,238",Spectrum Center,
41,"Mon, Oct 25, 2021",7:00p,Milwaukee Bucks,119,Indiana Pacers,109,Box Score,,"10,339",Gainbridge Fieldhouse,
42,"Mon, Oct 25, 2021",7:30p,Chicago Bulls,111,Toronto Raptors,108,Box Score,,"19,800",Scotiabank Arena,
43,"Mon, Oct 25, 2021",7:30p,Orlando Magic,90,Miami Heat,107,Box Score,,"19,600",FTX Arena,
44,"Mon, Oct 25, 2021",7:30p,Washington Wizards,90,Brooklyn Nets,104,Box Score,,"14,487",Barclays Center,
45,"Mon, Oct 25, 2021",7:30p,Detroit Pistons,104,Atlanta Hawks,122,Box Score,,"14,209",State Farm Arena,
46,"Mon, Oct 25, 2021",8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98,Box Score,,"14,435",Target Center,
47,"Mon, Oct 25, 2021",9:00p,Cleveland Cavaliers,99,Denver Nuggets,87,Box Score,,"14,221",Ball Arena,
48,"Mon, Oct 25, 2021",10:30p,Portland Trail Blazers,86,Los Angeles Clippers,116,Box Score,,"15,672",Crypto.com Arena,
49,"Tue, Oct 26, 2021",7:30p,Philadelphia 76ers,99,New York Knicks,112,Box Score,,"15,218",Madison Square Garden (IV),
50,"Tue, Oct 26, 2021",8:00p,Golden State Warriors,106,Oklahoma City Thunder,98,Box Score,,0,Paycom Center,
51,"Tue, Oct 26, 2021",8:30p,Los Angeles Lakers,125,San Antonio Spurs,121,Box Score,OT,"18,354",AT&T Center,
52,"Tue, Oct 26, 2021",8:30p,Houston Rockets,106,Dallas Mavericks,116,Box Score,,"19,337",American Airlines Center,
53,"Tue, Oct 26, 2021",10:00p,Denver Nuggets,110,Utah Jazz,122,Box Score,,"18,306",Vivint Smart Home Arena,
54,"Wed, Oct 27, 2021",7:00p,Charlotte Hornets,120,Orlando Magic,111,Box Score,,"14,082",Amway Center,
55,"Wed, Oct 27, 2021",7:30p,Washington Wizards,116,Boston Celtics,107,Box Score,,"19,156",TD Garden,
56,"Wed, Oct 27, 2021",7:30p,Miami Heat,106,Brooklyn Nets,93,Box Score,,"17,732",Barclays Center,
57,"Wed, Oct 27, 2021",7:30p,Indiana Pacers,100,Toronto Raptors,118,Box Score,,"19,800",Scotiabank Arena,
58,"Wed, Oct 27, 2021",7:30p,Atlanta Hawks,102,New Orleans Pelicans,99,Box Score,,"15,541",Smoothie King Center,
59,"Wed, Oct 27, 2021",8:00p,Minnesota Timberwolves,113,Milwaukee Bucks,108,Box Score,,"17,341",Fiserv Forum,
60,"Wed, Oct 27, 2021",8:00p,Los Angeles Lakers,115,Oklahoma City Thunder,123,Box Score,,"15,783",Paycom Center,
61,"Wed, Oct 27, 2021",10:00p,Sacramento Kings,110,Phoenix Suns,107,Box Score,,"14,678",Phoenix Suns Arena,
62,"Wed, Oct 27, 2021",10:00p,Memphis Grizzlies,96,Portland Trail Blazers,116,Box Score,,"16,241",Moda Center,
63,"Wed, Oct 27, 2021",10:30p,Cleveland Cavaliers,92,Los Angeles Clippers,79,Box Score,,"13,276",Crypto.com Arena,
64,"Thu, Oct 28, 2021",7:00p,Atlanta Hawks,111,Washington Wizards,122,Box Score,,"13,653",Capital One Arena,
65,"Thu, Oct 28, 2021",7:00p,Detroit Pistons,102,Philadelphia 76ers,110,Box Score,,"20,017",Wells Fargo Center,
66,"Thu, Oct 28, 2021",8:00p,Utah Jazz,122,Houston Rockets,91,Box Score,,"15,858",Toyota Center,
67,"Thu, Oct 28, 2021",8:00p,New York Knicks,104,Chicago Bulls,103,Box Score,,"20,972",United Center,
68,"Thu, Oct 28, 2021",8:30p,San Antonio Spurs,99,Dallas Mavericks,104,Box Score,,"19,228",American Airlines Center,
69,"Thu, Oct 28, 2021",10:00p,Memphis Grizzlies,104,Golden State Warriors,101,Box Score,OT,"18,064",Chase Center,
70,"Fri, Oct 29, 2021",7:00p,Orlando Magic,109,Toronto Raptors,110,Box Score,,"19,800",Scotiabank Arena,
71,"Fri, Oct 29, 2021",7:30p,Charlotte Hornets,99,Miami Heat,114,Box Score,,"19,600",FTX Arena,
72,"Fri, Oct 29, 2021",7:30p,Indiana Pacers,98,Brooklyn Nets,105,Box Score,,"16,139",Barclays Center,
73,"Fri, Oct 29, 2021",8:00p,Sacramento Kings,113,New Orleans Pelicans,109,Box Score,,"17,507",Smoothie King Center,
74,"Fri, Oct 29, 2021",10:00p,Dallas Mavericks,75,Denver Nuggets,106,Box Score,,"18,315",Ball Arena,
75,"Fri, Oct 29, 2021",10:00p,Los Angeles Clippers,92,Portland Trail Blazers,111,Box Score,,"16,510",Moda Center,
76,"Fri, Oct 29, 2021",10:30p,Cleveland Cavaliers,101,Los Angeles Lakers,113,Box Score,,"18,997",Crypto.com Arena,
77,"Sat, Oct 30, 2021",5:00p,Boston Celtics,112,Washington Wizards,115,Box Score,2OT,"15,813",Capital One Arena,
78,"Sat, Oct 30, 2021",7:00p,Orlando Magic,103,Detroit Pistons,110,Box Score,,"11,423",Little Caesars Arena,
79,"Sat, Oct 30, 2021",7:00p,New York Knicks,123,New Orleans Pelicans,117,Box Score,,"16,508",Smoothie King Center,
80,"Sat, Oct 30, 2021",7:30p,Toronto Raptors,97,Indiana Pacers,94,Box Score,,"10,578",Gainbridge Fieldhouse,
81,"Sat, Oct 30, 2021",7:30p,Atlanta Hawks,94,Philadelphia 76ers,122,Box Score,,"20,031",Wells Fargo Center,
82,"Sat, Oct 30, 2021",8:00p,Utah Jazz,99,Chicago Bulls,107,Box Score,,"20,668",United Center,
83,"Sat, Oct 30, 2021",8:00p,Miami Heat,129,Memphis Grizzlies,103,Box Score,,"15,989",FedEx Forum,
84,"Sat, Oct 30, 2021",8:00p,San Antonio Spurs,102,Milwaukee Bucks,93,Box Score,,"17,341",Fiserv Forum,
85,"Sat, Oct 30, 2021",8:30p,Oklahoma City Thunder,82,Golden State Warriors,103,Box Score,,"18,064",Chase Center,
86,"Sat, Oct 30, 2021",9:00p,Denver Nuggets,93,Minnesota Timberwolves,91,Box Score,,"17,136",Target Center,
87,"Sat, Oct 30, 2021",10:00p,Cleveland Cavaliers,92,Phoenix Suns,101,Box Score,,"14,516",Phoenix Suns Arena,
88,"Sun, Oct 31, 2021",3:30p,Sacramento Kings,99,Dallas Mavericks,105,Box Score,,"19,231",American Airlines Center,
89,"Sun, Oct 31, 2021",7:00p,Portland Trail Blazers,113,Charlotte Hornets,125,Box Score,,"14,960",Spectrum Center,
90,"Sun, Oct 31, 2021",7:00p,Utah Jazz,107,Milwaukee Bucks,95,Box Score,,"17,341",Fiserv Forum,
91,"Sun, Oct 31, 2021",7:30p,Detroit Pistons,91,Brooklyn Nets,117,Box Score,,"13,507",Barclays Center,
92,"Sun, Oct 31, 2021",10:30p,Houston Rockets,85,Los Angeles Lakers,95,Box Score,,"16,448",Crypto.com Arena,
93,"Mon, Nov 1, 2021",7:00p,Cleveland Cavaliers,113,Charlotte Hornets,110,Box Score,,"13,889",Spectrum Center,
94,"Mon, Nov 1, 2021",7:00p,San Antonio Spurs,118,Indiana Pacers,131,Box Score,,"10,227",Gainbridge Fieldhouse,
95,"Mon, Nov 1, 2021",7:00p,Portland Trail Blazers,103,Philadelphia 76ers,113,Box Score,,"20,115",Wells Fargo Center,
96,"Mon, Nov 1, 2021",7:30p,Washington Wizards,111,Atlanta Hawks,118,Box Score,,"14,632",State Farm Arena,
97,"Mon, Nov 1, 2021",7:30p,Chicago Bulls,128,Boston Celtics,114,Box Score,,"19,156",TD Garden,
98,"Mon, Nov 1, 2021",7:30p,Toronto Raptors,113,New York Knicks,104,Box Score,,"16,528",Madison Square Garden (IV),
99,"Mon, Nov 1, 2021",8:00p,Denver Nuggets,97,Memphis Grizzlies,106,Box Score,,"12,683",FedEx Forum,
100,"Mon, Nov 1, 2021",8:00p,Orlando Magic,115,Minnesota Timberwolves,97,Box Score,,"14,744",Target Center,
101,"Mon, Nov 1, 2021",10:30p,Oklahoma City Thunder,94,Los Angeles Clippers,99,Box Score,,"13,722",Crypto.com Arena,
102,"Tue, Nov 2, 2021",7:00p,Milwaukee Bucks,117,Detroit Pistons,89,Box Score,,"9,254",Little Caesars Arena,
103,"Tue, Nov 2, 2021",7:30p,Miami Heat,125,Dallas Mavericks,110,Box Score,,"19,255",American Airlines Center,
104,"Tue, Nov 2, 2021",9:00p,Sacramento Kings,113,Utah Jazz,119,Box Score,,"18,306",Vivint Smart Home Arena,
105,"Tue, Nov 2, 2021",10:00p,New Orleans Pelicans,100,Phoenix Suns,112,Box Score,,"14,323",Phoenix Suns Arena,
106,"Tue, Nov 2, 2021",10:30p,Houston Rockets,117,Los Angeles Lakers,119,Box Score,,"18,997",Crypto.com Arena,
107,"Wed, Nov 3, 2021",7:00p,Portland Trail Blazers,104,Cleveland Cavaliers,107,Box Score,,"16,231",Rocket Mortgage Fieldhouse,
108,"Wed, Nov 3, 2021",7:00p,New York Knicks,98,Indiana Pacers,111,Box Score,,"11,607",Gainbridge Fieldhouse,
109,"Wed, Nov 3, 2021",7:00p,Boston Celtics,92,Orlando Magic,79,Box Score,,"12,735",Amway Center,
110,"Wed, Nov 3, 2021",7:00p,Chicago Bulls,98,Philadelphia 76ers,103,Box Score,,"20,438",Wells Fargo Center,
111,"Wed, Nov 3, 2021",7:00p,Toronto Raptors,109,Washington Wizards,100,Box Score,,"13,538",Capital One Arena,
112,"Wed, Nov 3, 2021",7:30p,Atlanta Hawks,108,Brooklyn Nets,117,Box Score,,"17,323",Barclays Center,
113,"Wed, Nov 3, 2021",8:00p,Denver Nuggets,106,Memphis Grizzlies,108,Box Score,,"12,977",FedEx Forum,
114,"Wed, Nov 3, 2021",8:00p,Los Angeles Clippers,126,Minnesota Timberwolves,115,Box Score,,"15,386",Target Center,
115,"Wed, Nov 3, 2021",8:30p,Dallas Mavericks,109,San Antonio Spurs,108,Box Score,,"16,356",AT&T Center,
116,"Wed, Nov 3, 2021",10:00p,Charlotte Hornets,92,Golden State Warriors,114,Box Score,,"18,064",Chase Center,
117,"Wed, Nov 3, 2021",10:00p,New Orleans Pelicans,99,Sacramento Kings,112,Box Score,,0,Golden 1 Center,
118,"Thu, Nov 4, 2021",7:00p,Philadelphia 76ers,109,Detroit Pistons,98,Box Score,,"8,702",Little Caesars Arena,
119,"Thu, Nov 4, 2021",7:30p,Utah Jazz,116,Atlanta Hawks,98,Box Score,,"16,590",State Farm Arena,
120,"Thu, Nov 4, 2021",7:30p,Boston Celtics,95,Miami Heat,78,Box Score,,"19,600",FTX Arena,
121,"Thu, Nov 4, 2021",10:00p,Houston Rockets,111,Phoenix Suns,123,Box Score,,"15,058",Phoenix Suns Arena,
122,"Thu, Nov 4, 2021",10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,104,Box Score,,"18,997",Crypto.com Arena,
123,"Fri, Nov 5, 2021",7:00p,Brooklyn Nets,96,Detroit Pistons,90,Box Score,,"14,235",Little Caesars Arena,
124,"Fri, Nov 5, 2021",7:00p,San Antonio Spurs,102,Orlando Magic,89,Box Score,,"14,101",Amway Center,
125,"Fri, Nov 5, 2021",7:00p,Memphis Grizzlies,87,Washington Wizards,115,Box Score,,"16,302",Capital One Arena,
126,"Fri, Nov 5, 2021",7:30p,New York Knicks,113,Milwaukee Bucks,98,Box Score,,"17,341",Fiserv Forum,
127,"Fri, Nov 5, 2021",7:30p,Cleveland Cavaliers,102,Toronto Raptors,101,Box Score,,"19,800",Scotiabank Arena,
128,"Fri, Nov 5, 2021",8:00p,Los Angeles Clippers,104,Minnesota Timberwolves,84,Box Score,,"17,136",Target Center,
129,"Fri, Nov 5, 2021",10:00p,New Orleans Pelicans,85,Golden State Warriors,126,Box Score,,"18,064",Chase Center,
130,"Fri, Nov 5, 2021",10:00p,Indiana Pacers,106,Portland Trail Blazers,110,Box Score,,"16,841",Moda Center,
131,"Fri, Nov 5, 2021",10:00p,Charlotte Hornets,110,Sacramento Kings,140,Box Score,,"14,905",Golden 1 Center,
132,"Sat, Nov 6, 2021",5:00p,Houston Rockets,94,Denver Nuggets,95,Box Score,,"16,046",Ball Arena,
133,"Sat, Nov 6, 2021",7:30p,Utah Jazz,115,Miami Heat,118,Box Score,,"19,600",FTX Arena,
134,"Sat, Nov 6, 2021",8:00p,Philadelphia 76ers,114,Chicago Bulls,105,Box Score,,"20,936",United Center,
135,"Sat, Nov 6, 2021",8:30p,Boston Celtics,104,Dallas Mavericks,107,Box Score,,"20,052",American Airlines Center,
136,"Sat, Nov 6, 2021",10:00p,Atlanta Hawks,117,Phoenix Suns,121,Box Score,,"15,412",Phoenix Suns Arena,
137,"Sat, Nov 6, 2021",10:30p,Los Angeles Lakers,90,Portland Trail Blazers,105,Box Score,,"19,393",Moda Center,
138,"Sun, Nov 7, 2021",3:30p,Brooklyn Nets,116,Toronto Raptors,103,Box Score,,"19,800",Scotiabank Arena,
139,"Sun, Nov 7, 2021",6:00p,Cleveland Cavaliers,126,New York Knicks,109,Box Score,,"19,040",Madison Square Garden (IV),
140,"Sun, Nov 7, 2021",6:00p,Utah Jazz,100,Orlando Magic,107,Box Score,,"13,386",Amway Center,
141,"Sun, Nov 7, 2021",6:00p,Indiana Pacers,94,Sacramento Kings,91,Box Score,,"12,993",Golden 1 Center,
142,"Sun, Nov 7, 2021",6:00p,Milwaukee Bucks,94,Washington Wizards,101,Box Score,,"15,570",Capital One Arena,
143,"Sun, Nov 7, 2021",7:00p,San Antonio Spurs,94,Oklahoma City Thunder,99,Box Score,,"12,972",Paycom Center,
144,"Sun, Nov 7, 2021",8:30p,Houston Rockets,107,Golden State Warriors,120,Box Score,,"18,064",Chase Center,
145,"Sun, Nov 7, 2021",9:00p,Charlotte Hornets,106,Los Angeles Clippers,120,Box Score,,"15,781",Crypto.com Arena,
146,"Mon, Nov 8, 2021",7:00p,New York Knicks,103,Philadelphia 76ers,96,Box Score,,"20,224",Wells Fargo Center,
147,"Mon, Nov 8, 2021",8:00p,Brooklyn Nets,95,Chicago Bulls,118,Box Score,,"19,459",United Center,
148,"Mon, Nov 8, 2021",8:00p,Minnesota Timberwolves,118,Memphis Grizzlies,125,Box Score,OT,"12,416",FedEx Forum,
149,"Mon, Nov 8, 2021",8:30p,New Orleans Pelicans,92,Dallas Mavericks,108,Box Score,,"19,231",American Airlines Center,
150,"Mon, Nov 8, 2021",9:00p,Miami Heat,96,Denver Nuggets,113,Box Score,,"15,577",Ball Arena,
151,"Mon, Nov 8, 2021",10:00p,Atlanta Hawks,113,Golden State Warriors,127,Box Score,,"18,064",Chase Center,
152,"Mon, Nov 8, 2021",10:00p,Phoenix Suns,109,Sacramento Kings,104,Box Score,,"13,566",Golden 1 Center,
153,"Mon, Nov 8, 2021",10:30p,Charlotte Hornets,123,Los Angeles Lakers,126,Box Score,OT,"18,997",Crypto.com Arena,
154,"Tue, Nov 9, 2021",7:30p,Milwaukee Bucks,118,Philadelphia 76ers,109,Box Score,,"20,029",Wells Fargo Center,
155,"Tue, Nov 9, 2021",9:00p,Atlanta Hawks,98,Utah Jazz,110,Box Score,,"18,306",Vivint Smart Home Arena,
156,"Tue, Nov 9, 2021",10:00p,Portland Trail Blazers,109,Los Angeles Clippers,117,Box Score,,"14,131",Crypto.com Arena,
157,"Wed, Nov 10, 2021",7:00p,Washington Wizards,97,Cleveland Cavaliers,94,Box Score,,"18,056",Rocket Mortgage Fieldhouse,
158,"Wed, Nov 10, 2021",7:00p,Brooklyn Nets,123,Orlando Magic,90,Box Score,,"13,882",Amway Center,
159,"Wed, Nov 10, 2021",7:30p,Toronto Raptors,88,Boston Celtics,104,Box Score,,"19,156",TD Garden,
160,"Wed, Nov 10, 2021",7:30p,Detroit Pistons,112,Houston Rockets,104,Box Score,,"15,350",Toyota Center,
161,"Wed, Nov 10, 2021",7:30p,Milwaukee Bucks,112,New York Knicks,100,Box Score,,"18,027",Madison Square Garden (IV),
162,"Wed, Nov 10, 2021",8:00p,Dallas Mavericks,107,Chicago Bulls,117,Box Score,,"20,910",United Center,
163,"Wed, Nov 10, 2021",8:00p,Charlotte Hornets,118,Memphis Grizzlies,108,Box Score,,"13,880",FedEx Forum,
164,"Wed, Nov 10, 2021",8:00p,Oklahoma City Thunder,108,New Orleans Pelicans,100,Box Score,,"15,355",Smoothie King Center,
165,"Wed, Nov 10, 2021",8:30p,Sacramento Kings,117,San Antonio Spurs,136,Box Score,,"15,065",AT&T Center,
166,"Wed, Nov 10, 2021",9:00p,Indiana Pacers,98,Denver Nuggets,101,Box Score,,"15,232",Ball Arena,
167,"Wed, Nov 10, 2021",9:00p,Portland Trail Blazers,109,Phoenix Suns,119,Box Score,,"15,672",Phoenix Suns Arena,
168,"Wed, Nov 10, 2021",10:00p,Minnesota Timberwolves,110,Golden State Warriors,123,Box Score,,"18,064",Chase Center,
169,"Wed, Nov 10, 2021",10:00p,Miami Heat,117,Los Angeles Lakers,120,Box Score,OT,"18,997",Crypto.com Arena,
170,"Thu, Nov 11, 2021",7:00p,Toronto Raptors,115,Philadelphia 76ers,109,Box Score,,"20,112",Wells Fargo Center,
171,"Thu, Nov 11, 2021",9:00p,Indiana Pacers,111,Utah Jazz,100,Box Score,,"18,306",Vivint Smart Home Arena,
172,"Thu, Nov 11, 2021",10:30p,Miami Heat,109,Los Angeles Clippers,112,Box Score,,"16,150",Crypto.com Arena,
173,"Fri, Nov 12, 2021",7:00p,New York Knicks,96,Charlotte Hornets,104,Box Score,,"19,257",Spectrum Center,
174,"Fri, Nov 12, 2021",7:30p,Milwaukee Bucks,113,Boston Celtics,122,Box Score,OT,"19,156",TD Garden,
175,"Fri, Nov 12, 2021",7:30p,Detroit Pistons,78,Cleveland Cavaliers,98,Box Score,,"17,095",Rocket Mortgage Fieldhouse,
176,"Fri, Nov 12, 2021",8:00p,Portland Trail Blazers,104,Houston Rockets,92,Box Score,,"15,468",Toyota Center,
177,"Fri, Nov 12, 2021",8:00p,Phoenix Suns,119,Memphis Grizzlies,94,Box Score,,"15,886",FedEx Forum,
178,"Fri, Nov 12, 2021",8:00p,Brooklyn Nets,120,New Orleans Pelicans,112,Box Score,,"14,650",Smoothie King Center,
179,"Fri, Nov 12, 2021",8:00p,Sacramento Kings,103,Oklahoma City Thunder,105,Box Score,,"12,881",Paycom Center,
180,"Fri, Nov 12, 2021",8:30p,Dallas Mavericks,123,San Antonio Spurs,109,Box Score,,"13,425",AT&T Center,
181,"Fri, Nov 12, 2021",9:00p,Atlanta Hawks,96,Denver Nuggets,105,Box Score,,"16,849",Ball Arena,
182,"Fri, Nov 12, 2021",10:00p,Chicago Bulls,93,Golden State Warriors,119,Box Score,,"18,064",Chase Center,
183,"Fri, Nov 12, 2021",10:30p,Minnesota Timberwolves,107,Los Angeles Lakers,83,Box Score,,"18,997",Crypto.com Arena,
184,"Sat, Nov 13, 2021",5:00p,Miami Heat,111,Utah Jazz,105,Box Score,,"18,306",Vivint Smart Home Arena,
185,"Sat, Nov 13, 2021",7:00p,Philadelphia 76ers,113,Indiana Pacers,118,Box Score,,"14,483",Gainbridge Fieldhouse,
186,"Sat, Nov 13, 2021",7:00p,Memphis Grizzlies,101,New Orleans Pelicans,112,Box Score,,"14,358",Smoothie King Center,
187,"Sat, Nov 13, 2021",7:00p,Washington Wizards,104,Orlando Magic,92,Box Score,,"17,272",Amway Center,
188,"Sat, Nov 13, 2021",7:30p,Detroit Pistons,127,Toronto Raptors,121,Box Score,,"19,800",Scotiabank Arena,
189,"Sat, Nov 13, 2021",8:00p,Boston Celtics,89,Cleveland Cavaliers,91,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
190,"Sat, Nov 13, 2021",10:30p,Minnesota Timberwolves,102,Los Angeles Clippers,129,Box Score,,"15,285",Crypto.com Arena,
191,"Sun, Nov 14, 2021",3:30p,San Antonio Spurs,106,Los Angeles Lakers,114,Box Score,,"18,997",Crypto.com Arena,
192,"Sun, Nov 14, 2021",6:00p,Milwaukee Bucks,100,Atlanta Hawks,120,Box Score,,"16,901",State Farm Arena,
193,"Sun, Nov 14, 2021",7:00p,Golden State Warriors,102,Charlotte Hornets,106,Box Score,,"19,559",Spectrum Center,
194,"Sun, Nov 14, 2021",7:00p,Phoenix Suns,115,Houston Rockets,89,Box Score,,"16,088",Toyota Center,
195,"Sun, Nov 14, 2021",7:00p,Brooklyn Nets,120,Oklahoma City Thunder,96,Box Score,,"15,080",Paycom Center,
196,"Sun, Nov 14, 2021",8:00p,Portland Trail Blazers,95,Denver Nuggets,124,Box Score,,"14,583",Ball Arena,
197,"Sun, Nov 14, 2021",9:30p,Chicago Bulls,100,Los Angeles Clippers,90,Box Score,,"17,899",Crypto.com Arena,
198,"Mon, Nov 15, 2021",7:00p,Boston Celtics,98,Cleveland Cavaliers,92,Box Score,,"17,186",Rocket Mortgage Fieldhouse,
199,"Mon, Nov 15, 2021",7:00p,Sacramento Kings,129,Detroit Pistons,107,Box Score,,"10,092",Little Caesars Arena,
200,"Mon, Nov 15, 2021",7:00p,New Orleans Pelicans,100,Washington Wizards,105,Box Score,,"13,914",Capital One Arena,
201,"Mon, Nov 15, 2021",7:30p,Orlando Magic,111,Atlanta Hawks,129,Box Score,,"13,061",State Farm Arena,
202,"Mon, Nov 15, 2021",7:30p,Indiana Pacers,84,New York Knicks,92,Box Score,,"16,792",Madison Square Garden (IV),
203,"Mon, Nov 15, 2021",8:00p,Denver Nuggets,101,Dallas Mavericks,111,Box Score,,"19,797",American Airlines Center,
204,"Mon, Nov 15, 2021",8:00p,Houston Rockets,102,Memphis Grizzlies,136,Box Score,,"11,482",FedEx Forum,
205,"Mon, Nov 15, 2021",8:00p,Phoenix Suns,99,Minnesota Timberwolves,96,Box Score,,"16,274",Target Center,
206,"Mon, Nov 15, 2021",8:00p,Miami Heat,103,Oklahoma City Thunder,90,Box Score,,"12,330",Paycom Center,
207,"Mon, Nov 15, 2021",10:00p,Toronto Raptors,113,Portland Trail Blazers,118,Box Score,,"16,142",Moda Center,
208,"Mon, Nov 15, 2021",10:30p,Chicago Bulls,121,Los Angeles Lakers,103,Box Score,,"18,997",Crypto.com Arena,
209,"Tue, Nov 16, 2021",7:30p,Golden State Warriors,117,Brooklyn Nets,99,Box Score,,"17,732",Barclays Center,
210,"Tue, Nov 16, 2021",10:00p,Philadelphia 76ers,85,Utah Jazz,120,Box Score,,"18,306",Vivint Smart Home Arena,
